accession	organism_name	species_taxid	ftp_path
GCF_023299745.1	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/299/745/GCF_023299745.1_ASM2329974v1/
GCF_024582755.1	Streptococcus suis	1307	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/582/755/GCF_024582755.1_ASM2458275v1/
GCF_025908255.1	Lactococcus garvieae	1363	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/908/255/GCF_025908255.1_ASM2590825v1/
GCF_026409165.1	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/409/165/GCF_026409165.1_ASM2640916v1/
GCF_028621775.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/621/775/GCF_028621775.1_ASM2862177v1/
GCF_029167565.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/167/565/GCF_029167565.1_ASM2916756v1/
GCF_029542385.1	Streptococcus suis	1307	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/542/385/GCF_029542385.1_ASM2954238v1/
GCF_030020495.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/020/495/GCF_030020495.1_ASM3002049v1/
GCF_030295845.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/295/845/GCF_030295845.1_ASM3029584v1/
GCF_031203465.1	Streptococcus agalactiae	1311	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/203/465/GCF_031203465.1_ASM3120346v1/
GCF_032230945.1	Streptococcus suis	1307	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/230/945/GCF_032230945.1_ASM3223094v1/
GCF_033100235.1	Streptococcus pasteurianus	197614	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/100/235/GCF_033100235.1_ASM3310023v1/
GCF_033814155.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/814/155/GCF_033814155.1_ASM3381415v1/
GCF_036352215.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/352/215/GCF_036352215.1_ASM3635221v1/
GCF_036772935.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/772/935/GCF_036772935.1_ASM3677293v1/
GCF_038431575.1	Streptococcus pneumoniae	1313	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/431/575/GCF_038431575.1_ASM3843157v1/
