accession	organism_name	species_taxid	ftp_path
GCF_009931715.1	Lacticaseibacillus paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/931/715/GCF_009931715.1_ASM993171v1/
GCF_013363915.1	Lactobacillus gasseri	1596	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/363/915/GCF_013363915.1_ASM1336391v1/
GCF_014789145.1	Weissella viridescens	1629	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/789/145/GCF_014789145.1_ASM1478914v1/
GCF_015693945.1	Lacticaseibacillus paracasei subsp. tolerans	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/693/945/GCF_015693945.1_ASM1569394v1/
GCF_016599675.1	Lacticaseibacillus rhamnosus	47715	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/599/675/GCF_016599675.1_ASM1659967v2/
GCF_016757695.1	Lacticaseibacillus paracasei subsp. tolerans	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/757/695/GCF_016757695.1_ASM1675769v1/
GCF_017638905.1	Lacticaseibacillus paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/638/905/GCF_017638905.1_ASM1763890v1/
GCF_020412465.1	Limosilactobacillus reuteri	1598	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/412/465/GCF_020412465.1_ASM2041246v1/
GCF_023920145.1	Oenococcus oeni	1247	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/920/145/GCF_023920145.1_ASM2392014v1/
GCF_024029355.1	Fructilactobacillus cliffordii	2940299	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/029/355/GCF_024029355.1_ASM2402935v1/
GCF_024029915.1	Fructilactobacillus ixorae	1750535	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/029/915/GCF_024029915.1_ASM2402991v1/
GCF_024158965.2	Lacticaseibacillus paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/158/965/GCF_024158965.2_ASM2415896v2/
