accession	organism_name	species_taxid	ftp_path
GCF_001697245.1	Thermoclostridium stercorarium subsp. thermolacticum DSM 2910	1510	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/697/245/GCF_001697245.1_ASM169724v1/
GCF_001902295.1	Clostridium kluyveri	1534	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/295/GCF_001902295.1_ASM190229v1/
GCF_001921985.1	Clostridium botulinum	1491	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/921/985/GCF_001921985.1_ASM192198v1/
GCF_002006175.2	Clostridium felsineum	36839	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/006/175/GCF_002006175.2_ASM200617v2/
GCF_002082765.1	Veillonella atypica	39777	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/765/GCF_002082765.1_ASM208276v1/
GCF_002812625.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/812/625/GCF_002812625.1_ASM281262v1/
GCF_002946035.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/946/035/GCF_002946035.1_ASM294603v1/
GCF_003589745.1	Lachnoanaerobaculum umeaense	617123	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/589/745/GCF_003589745.1_ASM358974v1/
GCF_003697245.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/697/245/GCF_003697245.1_ASM369724v1/
GCF_004015185.1	Clostridium manihotivorum	2320868	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/015/185/GCF_004015185.1_ASM401518v1/
GCF_004103735.1	Aminipila luticellarii	2507160	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/103/735/GCF_004103735.1_ASM410373v1/
GCF_005886215.1	Hungatella hathewayi WAL-18680	154046	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/886/215/GCF_005886215.1_ASM588621v1/
GCF_007833375.1	Clostridium botulinum	1491	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/833/375/GCF_007833375.1_ASM783337v1/
GCF_007833395.1	Clostridium botulinum	1491	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/833/395/GCF_007833395.1_ASM783339v1/
GCF_007833475.1	Clostridium sporogenes	1509	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/833/475/GCF_007833475.1_ASM783347v1/
GCF_010537155.1	Amedibacterium intestinale	2583452	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/537/155/GCF_010537155.1_ASM1053715v1/
GCF_013112015.1	Blautia pseudococcoides	1796616	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/112/015/GCF_013112015.1_ASM1311201v1/
GCF_014236775.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/236/775/GCF_014236775.1_ASM1423677v1/
